iter	Passed	Remaining
404	8656	12717
405	8675	12692
406	8694	12668
407	8716	12647
408	8735	12622
409	8758	12604
410	8775	12575
411	8798	12557
412	8835	12558
413	8863	12546
414	8881	12519
415	8898	12492
416	8917	12467
417	8935	12440
418	8951	12413
419	8969	12386
420	8987	12360
421	9005	12334
422	9023	12308
423	9040	12281
424	9058	12255
425	9099	12260
426	9139	12264
427	9181	12271
428	9198	12243
429	9216	12217
430	9258	12223
431	9280	12202
432	9299	12178
433	9317	12151
434	9335	12124
435	9352	12097
436	9370	12072
437	9389	12048
438	9408	12023
439	9426	11997
440	9454	11983
441	9481	11969
442	9499	11943
443	9517	11918
444	9536	11893
445	9554	11867
446	9571	11841
447	9588	11814
448	9606	11788
449	9622	11761
450	9640	11735
451	9659	11710
452	9677	11685
453	9693	11658
454	9710	11631
455	9728	11606
456	9746	11580
457	9766	11557
458	9801	11552
459	9827	11536
460	9850	11517
461	9868	11491
462	9885	11465
463	9904	11441
464	9922	11416
465	9939	11390
466	9957	11364
467	9975	11339
468	9992	11313
469	10010	11288
470	10031	11267
471	10052	11244
472	10072	11222
473	10090	11197
474	10118	11183
475	10150	11174
476	10176	11157
477	10202	11141
478	10229	11126
479	10252	11107
480	10275	11087
481	10298	11067
482	10323	11050
483	10345	11029
484	10369	11010
485	10387	10986
486	10411	10967
487	10437	10951
488	10466	10937
489	10490	10918
490	10513	10898
491	10538	10881
492	10557	10857
493	10580	10837
494	10605	10819
495	10629	10801
496	10651	10780
497	10672	10757
498	10690	10733
499	10709	10709
500	10728	10685
501	10751	10665
502	10773	10644
503	10792	10620
504	10814	10600
505	10835	10578
506	10859	10559
507	10880	10537
508	10902	10517
509	10923	10495
510	10946	10475
511	10966	10452
512	10988	10431
513	11010	10410
514	11031	10388
515	11053	10367
516	11076	10347
517	11097	10325
518	11114	10300
519	11134	10278
520	11156	10257
521	11177	10235
522	11198	10213
523	11221	10193
524	11239	10169
525	11258	10145
526	11279	10123
527	11296	10098
528	11312	10072
529	11330	10047
530	11347	10022
531	11364	9997
532	11381	9972
533	11398	9946
534	11417	9923
535	11445	9908
536	11468	9887
537	11485	9862
538	11501	9837
539	11520	9814
540	11538	9789
541	11554	9764
542	11572	9739
543	11589	9714
544	11606	9689
545	11623	9664
546	11640	9639
547	11656	9614
548	11673	9589
549	11690	9565
550	11707	9540
551	11724	9515
552	11740	9490
553	11757	9465
554	11775	9441
555	11792	9416
556	11809	9392
557	11827	9368
558	11862	9358
559	11908	9356
560	11958	9358
561	12015	9364
562	12032	9339
563	12051	9316
564	12072	9294
565	12101	9278
566	12139	9270
567	12164	9251
568	12183	9228
569	12201	9204
570	12219	9180
571	12242	9160
572	12264	9139
573	12283	9115
574	12311	9100
575	12329	9076
576	12346	9051
577	12364	9027
578	12380	9002
579	12397	8977
580	12414	8952
581	12432	8929
582	12450	8905
583	12468	8881
584	12485	8857
585	12501	8832
586	12518	8807
587	12535	8783
588	12552	8758
589	12569	8734
590	12587	8710
591	12605	8687
592	12623	8663
593	12640	8639
594	12658	8616
595	12680	8595
596	12698	8572
597	12716	8548
598	12733	8524
599	12754	8502
600	12771	8478
601	12792	8457
602	12817	8438
603	12840	8418
604	12858	8395
605	12876	8371
606	12894	8348
607	12911	8324
608	12929	8301
609	12946	8277
610	12964	8253
611	12986	8233
612	13005	8210
613	13022	8186
614	13041	8164
615	13058	8140
616	13076	8116
617	13095	8094
618	13112	8070
619	13129	8047
620	13146	8023
621	13164	8000
622	13181	7976
623	13200	7954
624	13219	7931
625	13237	7908
626	13255	7885
627	13273	7862
628	13290	7838
629	13307	7815
630	13324	7791
631	13341	7768
632	13358	7745
633	13376	7721
634	13393	7698
635	13410	7675
636	13428	7652
637	13446	7629
638	13465	7607
639	13484	7584
640	13502	7562
641	13519	7538
642	13536	7515
643	13553	7492
644	13570	7469
645	13587	7445
646	13603	7422
647	13621	7399
648	13642	7378
649	13660	7355
650	13681	7334
651	13699	7312
652	13717	7289
653	13734	7266
654	13752	7243
655	13769	7220
656	13792	7200
657	13820	7183
658	13839	7161
659	13857	7138
660	13876	7116
661	13894	7094
662	13914	7072
663	13933	7050
664	13957	7031
665	13992	7017
666	14010	6994
667	14028	6972
668	14047	6950
669	14064	6927
670	14084	6905
671	14105	6884
672	14123	6862
673	14140	6839
674	14158	6816
675	14175	6794
676	14194	6772
677	14213	6750
678	14232	6728
679	14251	6706
680	14270	6684
681	14289	6662
682	14306	6640
683	14338	6624
684	14368	6607
685	14392	6587
686	14414	6567
687	14433	6545
688	14455	6525
689	14480	6505
690	14500	6484
691	14517	6461
692	14536	6439
693	14553	6416
694	14574	6396
695	14599	6376
696	14616	6354
697	14634	6332
698	14652	6309
699	14670	6287
700	14688	6265
701	14706	6242
702	14723	6220
703	14741	6198
704	14759	6175
705	14784	6156
706	14810	6138
707	14832	6117
708	14852	6096
709	14870	6073
710	14888	6051
711	14906	6029
712	14938	6012
713	14963	5993
714	14981	5971
715	14999	5949
716	15017	5927
717	15035	5905
718	15053	5883
719	15072	5861
720	15089	5839
721	15109	5817
722	15128	5796
723	15145	5773
724	15162	5751
725	15180	5729
726	15198	5707
727	15215	5684
728	15232	5662
729	15250	5640
730	15270	5619
731	15287	5597
732	15305	5574
733	15323	5553
734	15340	5530
735	15357	5508
736	15376	5487
737	15397	5466
738	15417	5445
739	15437	5423
740	15456	5402
741	15477	5381
742	15513	5365
743	15543	5348
744	15566	5328
745	15584	5306
746	15602	5284
747	15619	5262
748	15638	5240
749	15655	5218
750	15673	5196
751	15692	5175
752	15710	5153
753	15730	5132
754	15748	5110
755	15772	5090
756	15804	5073
757	15828	5053
758	15847	5031
759	15865	5010
760	15883	4988
761	15901	4966
762	15922	4945
763	15939	4923
764	15958	4902
765	15977	4880
766	15994	4858
767	16012	4836
768	16029	4815
769	16049	4794
770	16069	4772
771	16086	4750
772	16103	4728
773	16125	4708
774	16142	4686
775	16166	4666
776	16185	4645
777	16202	4623
778	16220	4601
779	16237	4579
780	16254	4558
781	16272	4536
782	16290	4514
783	16310	4493
784	16326	4471
785	16344	4450
786	16362	4428
787	16379	4406
788	16399	4385
789	16417	4364
790	16434	4342
791	16452	4320
792	16468	4298
793	16487	4277
794	16504	4255
795	16522	4234
796	16540	4212
797	16557	4191
798	16575	4169
799	16592	4148
800	16610	4126
801	16629	4105
802	16647	4084
803	16665	4062
804	16681	4040
805	16699	4019
806	16716	3997
807	16735	3976
808	16757	3956
809	16784	3937
810	16805	3916
811	16825	3895
812	16842	3874
813	16860	3852
814	16877	3831
815	16895	3809
816	16913	3788
817	16930	3767
818	16951	3746
819	16968	3724
820	16990	3704
821	17008	3683
822	17026	3661
823	17043	3640
824	17065	3620
825	17083	3598
826	17101	3577
827	17119	3556
828	17136	3534
829	17154	3513
830	17172	3492
831	17190	3471
832	17205	3449
833	17228	3429
834	17246	3407
835	17263	3386
836	17281	3365
837	17300	3344
838	17319	3323
839	17338	3302
840	17355	3281
841	17373	3260
842	17391	3238
843	17409	3217
844	17427	3196
845	17445	3175
846	17463	3154
847	17480	3133
848	17498	3112
849	17515	3091
850	17534	3070
851	17554	3049
852	17574	3028
853	17593	3007
854	17613	2987
855	17634	2966
856	17651	2945
857	17668	2924
858	17686	2903
859	17704	2882
860	17721	2861
861	17739	2839
862	17766	2820
863	17783	2799
864	17801	2778
865	17817	2757
866	17838	2736
867	17856	2715
868	17874	2694
869	17893	2673
870	17912	2652
871	17931	2632
872	17953	2611
873	17980	2592
874	18002	2571
875	18023	2551
876	18044	2530
877	18064	2510
878	18083	2489
879	18102	2468
880	18125	2448
881	18145	2427
882	18167	2407
883	18188	2386
884	18207	2365
885	18225	2344
886	18243	2324
887	18260	2303
888	18278	2282
889	18295	2261
890	18313	2240
891	18330	2219
892	18348	2198
893	18367	2177
894	18388	2157
895	18409	2136
896	18427	2116
897	18447	2095
898	18466	2074
899	18484	2053
900	18504	2033
901	18521	2012
902	18544	1992
903	18562	1971
904	18579	1950
905	18597	1929
906	18615	1908
907	18636	1888
908	18657	1867
909	18674	1846
910	18697	1826
911	18721	1806
912	18748	1786
913	18767	1765
914	18785	1745
915	18803	1724
916	18820	1703
917	18837	1682
918	18856	1662
919	18874	1641
920	18891	1620
921	18909	1599
922	18928	1579
923	18951	1558
924	18981	1539
925	19005	1518
926	19023	1498
927	19042	1477
928	19064	1457
929	19089	1436
930	19117	1416
931	19135	1396
932	19153	1375
933	19172	1354
934	19193	1334
935	19212	1313
936	19242	1293
937	19267	1273
938	19289	1253
939	19307	1232
940	19326	1211
941	19349	1191
942	19372	1170
943	19393	1150
944	19412	1129
945	19432	1109
946	19452	1088
947	19470	1068
948	19490	1047
949	19509	1026
950	19530	1006
951	19547	985
952	19572	965
953	19590	944
954	19608	923
955	19626	903
956	19644	882
957	19663	862
958	19681	841
959	19699	820
960	19719	800
961	19748	780
962	19765	759
963	19786	738
964	19803	718
965	19823	697
966	19849	677
967	19881	657
968	19904	636
969	19930	616
970	19956	596
971	19978	575
972	20017	555
973	20037	534
974	20055	514
975	20073	493
976	20095	473
977	20112	452
978	20130	431
979	20167	411
980	20201	391
981	20233	370
982	20253	350
983	20275	329
984	20299	309
985	20317	288
986	20335	267
987	20353	247
988	20372	226
989	20390	205
990	20416	185
991	20440	164
992	20458	144
993	20476	123
994	20494	102
995	20513	82
996	20534	61
997	20553	41
998	20575	20
999	20592	0
