iter	Logloss
0	0.5839233244
1	0.4883813226
2	0.4303049829
3	0.3867331797
4	0.3486034343
5	0.3126640321
6	0.2833822058
7	0.265479149
8	0.2542046857
9	0.2430989122
10	0.2376219834
11	0.2314570364
12	0.2253815525
13	0.2206810284
14	0.2162489121
15	0.2136262905
16	0.210935512
17	0.2090363612
18	0.2062740507
19	0.2018408841
20	0.1996324847
21	0.1975415571
22	0.1953520865
23	0.1928380331
24	0.191862216
25	0.1913083712
26	0.1906824722
27	0.1900984255
28	0.1896540415
29	0.1890988734
30	0.1881118049
31	0.1870514208
32	0.186427045
33	0.1852675031
34	0.1846011595
35	0.1839085251
36	0.1837332489
37	0.1833581046
38	0.1830082616
39	0.1823828891
40	0.1819255334
41	0.1816480136
42	0.1813644496
43	0.1809619657
44	0.1806425871
45	0.1803627045
46	0.1801357969
47	0.1800130171
48	0.1798288428
49	0.1796003947
50	0.1794224532
51	0.1793363467
52	0.1791856415
53	0.1790640479
54	0.1787271316
55	0.178522787
56	0.1784241162
57	0.1783389672
58	0.1780488715
59	0.1776634218
60	0.1775546025
61	0.1773397938
62	0.1768554146
63	0.176588612
64	0.1764875826
65	0.1763676053
66	0.1763180333
67	0.1762322858
68	0.1760152199
69	0.1759430144
70	0.1759062761
71	0.1758438889
72	0.1757430433
73	0.1756767643
74	0.1755404345
75	0.1753918913
76	0.17531624
77	0.1751643653
78	0.1750789117
79	0.1750266707
80	0.1749742929
81	0.1748893538
82	0.1748287468
83	0.174748869
84	0.1746041281
85	0.1745649176
86	0.1744781579
87	0.1744194613
88	0.1743555725
89	0.174245009
90	0.1741703969
91	0.174057107
92	0.1739964224
93	0.1739415292
94	0.1738314581
95	0.173708105
96	0.1736684472
97	0.1736287195
98	0.173584286
99	0.1735186688
100	0.1734400663
101	0.1733813246
102	0.1733226895
103	0.1732616242
104	0.1732144057
105	0.173181679
106	0.1731561595
107	0.1730773046
108	0.1729629321
109	0.1729087516
110	0.1728192904
111	0.1727499277
112	0.172726695
113	0.1726911931
114	0.1726453284
115	0.1726058698
116	0.1725636259
117	0.1725021387
118	0.1723682035
119	0.1722719101
120	0.1722718907
121	0.1721928743
122	0.1721563598
123	0.1720861743
124	0.1720381273
125	0.1719608385
126	0.1719259169
127	0.1718996211
128	0.1718590608
129	0.1718230945
130	0.1717971153
131	0.1717533967
132	0.1716926561
133	0.1716019595
134	0.171582208
135	0.1714824643
136	0.1714236945
137	0.1713597117
138	0.1713261359
139	0.1712717712
140	0.1711938608
141	0.1711186367
142	0.1710671824
143	0.1709936696
144	0.1708806484
145	0.1708287496
146	0.1707605978
147	0.1707141277
148	0.1706314649
149	0.1704158036
150	0.170347868
151	0.1703108168
152	0.1702615033
153	0.1702132064
154	0.1700499447
155	0.1700186027
156	0.1699958065
157	0.1699510379
158	0.1699182499
159	0.1698414116
160	0.1697885488
161	0.1696350998
162	0.1695934229
163	0.1695333331
164	0.1694709837
165	0.1693658356
166	0.1692779972
167	0.169157402
168	0.1691058779
169	0.1690869541
170	0.1690513152
171	0.1689785137
172	0.1689339391
173	0.1688421396
174	0.168799116
175	0.168758804
176	0.1687194681
177	0.1686926034
178	0.1686433724
179	0.1685842185
180	0.1685238492
181	0.1684560862
182	0.1683839321
183	0.1683509138
184	0.1682896045
185	0.1682463746
186	0.168197685
187	0.1681508801
188	0.1681011656
189	0.1680775538
190	0.1680417645
191	0.1680073359
192	0.1679646442
193	0.1679205434
194	0.1678398078
195	0.1677642352
196	0.1677177719
197	0.1676790962
198	0.1676401311
199	0.1675941348
200	0.1675506323
201	0.1675013815
202	0.1674626592
203	0.1674027162
204	0.1673403942
205	0.1672872407
206	0.1672491657
207	0.1672058512
208	0.1671141004
209	0.1670940724
210	0.1670754769
211	0.167031877
212	0.166985087
213	0.1669460391
214	0.1668947321
215	0.1667832794
216	0.1667077862
217	0.1666871945
218	0.1666236718
219	0.1665876214
220	0.1665425058
221	0.166506745
222	0.1664556934
223	0.1664228919
224	0.1664064534
225	0.1663629488
226	0.1663363459
227	0.1662762762
228	0.1662278079
229	0.1661712481
230	0.1661068009
231	0.1660652903
232	0.1660014642
233	0.165959863
234	0.1659466808
235	0.1659174106
236	0.1658832321
237	0.165826772
238	0.1657806778
239	0.1657295283
240	0.1657000646
241	0.1656573991
242	0.1655932734
243	0.16556044
244	0.1655212451
245	0.1654674599
246	0.1654412717
247	0.1653833886
248	0.1653610624
249	0.1653207703
250	0.1652539366
251	0.1652257133
252	0.1651913229
253	0.1651386375
254	0.1650837184
255	0.1650194542
256	0.1649780745
257	0.1649368041
258	0.1648970303
259	0.1648595842
260	0.1647847845
261	0.1647244137
262	0.1646940641
263	0.1646566881
264	0.1645725952
265	0.1645577975
266	0.1645050846
267	0.1644697323
268	0.1644317802
269	0.1643541443
270	0.164207327
271	0.1641399149
272	0.1640837024
273	0.1640046171
274	0.1639847828
275	0.163921045
276	0.1638886646
277	0.1638646948
278	0.1637934946
279	0.1637422789
280	0.1636946534
281	0.1636415637
282	0.1635832223
283	0.1635647697
284	0.1635028089
285	0.163475712
286	0.1633882398
287	0.1633090675
288	0.1632487192
289	0.1631951333
290	0.1631515755
291	0.1631148862
292	0.1630837581
293	0.1630242137
294	0.1629655533
295	0.1629309456
296	0.1629151114
297	0.1628127375
298	0.1627778593
299	0.1627141605
300	0.1626779848
301	0.1626424553
302	0.1625909914
303	0.1625602195
304	0.1624922864
305	0.1624538698
306	0.1624146645
307	0.1623874515
308	0.162348839
309	0.1623144417
310	0.1622307156
311	0.1622073432
312	0.1621796371
313	0.1621355666
314	0.1620708079
315	0.1620342205
316	0.162008774
317	0.1619741925
318	0.1618953058
319	0.1618541709
320	0.1617992309
321	0.161761475
322	0.1617153889
323	0.1616227225
324	0.1615919021
325	0.1615214803
326	0.1614499161
327	0.1614079736
328	0.1613753929
329	0.1613208563
330	0.1612798846
331	0.1612508506
332	0.1611988485
333	0.1611744965
334	0.1610993065
335	0.161076252
336	0.1610340926
337	0.1610132462
338	0.160997696
339	0.1609615415
340	0.160913626
341	0.1608841201
342	0.1607825387
343	0.1607338543
344	0.1606995607
345	0.1606829303
346	0.160667987
347	0.1606426286
348	0.1606011629
349	0.1605854067
350	0.1605601579
351	0.1605239401
352	0.1605108102
353	0.1604965099
354	0.1604704667
355	0.1604434064
356	0.1603976749
357	0.160353485
358	0.1603012082
359	0.160274388
360	0.1602399297
361	0.1602183755
362	0.1601989451
363	0.160161406
364	0.1601348951
365	0.1601001312
366	0.1600599195
367	0.1600403653
368	0.1600120853
369	0.1599881375
370	0.1598974505
371	0.1598707405
372	0.1598171555
373	0.1597997905
374	0.159736079
375	0.1597128512
376	0.1596616149
377	0.1596282846
378	0.1595901172
379	0.1595614717
380	0.1595266157
381	0.1594995996
382	0.1594809791
383	0.1594576089
384	0.1594023263
385	0.1593520008
386	0.1592904819
387	0.1592641728
388	0.1592396622
389	0.1592110299
390	0.1591689915
391	0.1590736855
392	0.1590205924
393	0.158979297
394	0.15893589
395	0.1588998202
396	0.1588588694
397	0.1588457384
398	0.1588258961
399	0.1587731872
400	0.158752037
401	0.1587238161
402	0.1587001938
403	0.1586721516
404	0.1586368117
405	0.1586122707
406	0.1585534253
407	0.1585371341
408	0.1585101571
409	0.1584835068
